,misorientation,Length,Trace,Sigma,Distance_Center,Void_id,Pred_lenght,Junction,Void,Void_Parameter
259,45.14,16.653,163.9,5.64467,10.436224244573,4.0,12.146520951023309,1.0,1.0,1.0
271,44.89,20.881,35.5,5.90455,10.377676463353582,4.0,-1.0,0.0,1.0,1.0
331,52.2,13.317,34.3,4.98986,10.53998740938804,4.0,-1.0,0.0,1.0,1.0
332,52.2,11.547,150.0,5.71154,17.661125767069134,4.0,0.0,2.0,1.0,0.5
394,41.0,7.024,55.3,5.48635,11.604999999999997,4.0,-1.0,0.0,1.0,0.7
395,43.6,15.144,22.4,5.73381,15.673180246745288,4.0,4.129667622561546,1.0,1.0,0.6
421,51.16,16.773,33.4,5.38241,18.14181507035519,4.0,0.0,2.0,1.0,0.5
422,27.29,8.083,150.0,5.81506,16.065584939768215,4.0,-1.0,0.0,1.0,0.6
1037,23.65,11.719,39.8,5.57935,12.865099263004815,2.0,-1.0,0.0,1.0,0.7
1038,53.91,10.583,19.1,3.72874,7.604242805665418,2.0,9.131921144019392,1.0,1.0,0.8
1081,14.59,18.33,70.9,5.75974,12.865099263004815,2.0,2.842170943040401e-14,2.0,1.0,0.7
1082,26.97,8.083,111.8,4.77106,5.272184543832586,2.0,1.1718571004216928e-13,2.0,1.0,1.0
1144,51.93,35.233,31.6,5.90854,6.329999999999984,2.0,1.54815117683732,1.0,1.0,0.9
1151,32.41,34.871,143.4,5.901,9.070907535177556,2.0,5.417534000844318,1.0,1.0,0.8
1347,53.15,36.019,23.6,3.56526,14.184155553928543,1.0,7.084767302754057,2.0,1.0,0.8
1438,35.42,13.614,162.7,5.8756,22.799707785675032,1.0,0.0,2.0,1.0,0.6
1490,43.21,16.0,120.0,5.91664,7.454445888980673,1.0,8.02645764969177,2.0,1.0,1.0
1491,45.54,10.0,60.0,5.85671,22.799707785675032,1.0,0.0,2.0,1.0,0.6
1549,47.42,12.055,114.5,5.74345,16.887947280834258,1.0,11.41876347088948,2.0,1.0,0.7
1572,47.1,36.019,36.4,5.87669,9.948705368626667,1.0,12.166534709880969,2.0,1.0,0.9
1577,57.43,20.817,163.9,5.1489,14.184155553928584,1.0,-1.0,0.0,1.0,0.9
2014,31.16,22.745,165.3,5.5957,9.433409174180618,0.0,-1.0,0.0,1.0,0.9
2138,53.01,23.352,70.0,4.54566,6.144946176472245,0.0,8.101688369322842,2.0,1.0,1.0
2159,42.79,40.15,175.1,5.76105,9.012276619380263,0.0,8.20786954629593,2.0,1.0,1.0
2164,50.8,6.429,21.1,5.82167,8.698994318993414,6.0,-1.0,0.0,1.0,0.7
2189,24.42,16.0,120.0,5.66066,14.908891777961506,6.0,-1.0,0.0,1.0,0.6
2224,8.83,6.429,98.9,5.46968,4.349497159496707,6.0,-1.0,0.0,1.0,0.9
2234,14.56,6.928,150.0,5.92164,2.35625277970736,6.0,-1.0,0.0,1.0,1.0
2265,50.8,8.083,171.8,4.01101,6.671416803189397,6.0,0.0,3.0,1.0,0.8
2274,47.57,24.194,101.9,5.91244,15.104318252216043,6.0,0.0,3.0,1.0,0.6
2298,47.77,14.189,129.4,5.39531,15.104318252216043,6.0,0.0,3.0,1.0,0.6
2825,54.06,19.079,147.0,4.17204,7.459755394144605,8.0,-1.0,0.0,1.0,1.0
3416,35.12,15.144,157.6,5.63136,3.33174952003103,5.0,3.9974211952139,2.0,1.0,1.0
3483,28.26,28.844,46.1,5.67516,3.802121402832705,5.0,0.8553172994208763,2.0,1.0,1.0
3853,48.49,19.425,12.0,5.44797,6.751387534982351,3.0,-1.0,0.0,1.0,1.0
3931,37.47,20.429,81.6,5.5774,6.751387534982351,3.0,-1.0,0.0,1.0,1.0
