,misorientation,Length,Trace,Sigma,Distance_Center,Void_id,Pred_lenght,Junction,Void,Void_Parameter
52,50.92,12.166,85.3,5.86273,13.160423569570575,4.0,-1.0,0.0,1.0,0.8
54,15.5,6.429,81.1,5.36623,12.676034637157565,4.0,-1.0,0.0,1.0,0.8
169,8.09,17.088,114.2,4.3095,13.688692250406703,4.0,5.241959306921026,2.0,1.0,0.6
197,11.63,6.429,81.1,4.7623,10.047560975609757,4.0,-1.0,0.0,1.0,1.0
198,15.97,7.211,106.1,5.76409,10.047560975609757,4.0,-1.0,0.0,1.0,1.0
200,58.97,37.041,19.1,5.79502,12.684960323306088,4.0,0.5371224332227118,2.0,1.0,0.8
202,22.22,36.295,140.5,5.87533,13.482076092007011,4.0,14.449474911541323,1.0,1.0,0.7
443,23.03,11.136,128.9,5.78679,2.040122629089792,3.0,-1.0,0.0,1.0,1.0
475,23.45,10.263,133.0,5.47892,0.912109375,3.0,-1.0,0.0,1.0,1.0
855,37.31,8.083,30.0,5.62795,8.160490516359168,0.0,2.3443736425570636,2.0,1.0,0.9
857,49.33,12.165,94.7,5.72889,3.290105892392637,0.0,3.523718945964253,2.0,1.0,1.0
879,28.02,11.547,150.0,5.80188,3.291915960759913,0.0,-1.0,0.0,1.0,1.0
